"donor","F1","genes_retained","n_unstable_lambdas","n_lambdas"
1,0.409090909090909,20,0,20
2,0.344086021505376,19,0,20
3,0.478260869565217,20,0,20
4,0.285714285714286,13,3,20
5,0.384615384615385,20,0,20
6,0.413793103448276,18,0,20
7,0.305555555555556,18,0,20
8,0.311111111111111,19,11,20
