"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V1",0,0.0792606777290007,0.0171779914961698,0,0,0,0.0864684140553821,-0.146498099933827,0.0443139046004365,0,0,0,0,0,0,0,0,0,0,0
"V2",0,0,0,-0.0681827553140057,0,0,-0.00753939815739241,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0,0,0,0.0154234225207128,0,0,0,0.227921092119157,0.0463364771210434,0,0,0,0,0,0,0,0,0,0.0202604888180481
"V4",0,0,0,0,0,-0.00011513153277088,0,0,0,0,-0.0139616398536763,0,0,0,0,0,0.0462729648257425,-0.284684232055714,0,-0.0175640303267301
"V5",0,0,0,0,0,0,0,0,0,-0.00522106276970408,0,0,0,0,0,0,0,0,0,0.11667805154813
"V6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V7",0,0,0,0,0,0,0,0,0,-0.0449316761701058,0,0,0,-0.074790526280707,0,0,0,0,0,0
"V8",0,0,0,0,0,0,-0.0516618572862786,0,0,0,0,0,-0.20574223110123,0.204861794175994,-0.211598409927749,0,0,-0.120993435842412,0.157605325033038,0
"V9",0,0.0598778478782403,0.108994265664472,0,0,0,0,0,0,0.0807429343487785,0,0.00227736917297403,0,-0.000488632055528737,0.00848852845549621,0,-0.0181866738165501,0,0,0
"V10",0,0,0.0152270906014355,-0.167596610976641,0.0215723127739976,0,0,-0.13951391630546,0.0428951814350606,0,0,0.00383107969033178,0,0,0.0202168311004759,0,-0.490359024059548,0,-0.224308316617408,0
"V11",0,0,0.155494512082016,0,0,0,0,0,0,0,0,0.00201433701793371,0,0,0,-0.0527798834948437,0,-0.000612230482099873,0.00546796161582085,0
"V12",0,0,0,0,0,0,0,0,0,0,0,0,-0.126852575972328,0,0,0,0,0,0.0415562784190839,0.00324902677459563
"V13",0,0,0,0,0,0,0.213804160114724,0,0,-0.0109893058230466,0.0163437372871071,0,0,-0.102531077570459,0,-0.00335917024616212,0.0138004602004882,0.00171316785536715,0,-0.0428423965003335
"V14",0,0,0,0,0,0,-0.0634594668345135,0,0,0,0,0,-0.0423501416978382,0,0,0.068720660651675,0,0,0,0.153535880897328
"V15",0,0,0,0,0,-0.0774527078196455,0,-0.0412311208614731,0,0,0,-0.047453965480282,0.0279833935223353,0,0,0,0,0,-0.14181577239882,0
"V16",0,0,0,0,0,0,0,0.0801061147866377,0,0,0,0,-0.0823415031695041,0,0,0,0,0,0,0
"V17",0,0,0,0,0,0,0,0.153529119864949,0,0,0,-0.0503247131341157,0,0.0214027178468513,0,0,0,0,0.0710873708237095,0
"V18",0,0.0574887528464711,0,0,-0.205397630311929,0.0620470504304001,0,0,0.11858887054451,0.00971559951476356,0.287142733497718,0,0,0,0.165289400759839,0,0,0,0,0
"V19",0,0,0,0,0.0926141261515043,0,-0.033017989221863,0.0630663530729883,0,0,-0.0309911335383231,0,-0.351247437925655,0.140003205173379,0,0,0,-0.149225300213556,0,0
"V20",-0.0435003044120991,0,0,-0.0631460314971392,0,0.00650588425430403,0,0,0,0.146478582168208,0,-0.0107187255397002,0,-0.079747349827277,0,0,-0.0937609372644869,0,0,0
