"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V1",0,0.130973020803249,0,-0.27199202706322,0,-0.0272208069114145,0,0.164596689184308,0.0291392315103496,0,0,0,-0.00874104197457684,-0.17017095391295,0,0,0.061803019149546,0,0,0
"V2",-0.158174841249594,0,0,0.00270424643135357,0,0,0,0,0,0,0,0,0.0145692360546341,0.116193140677681,0,0,-0.204784582110832,0,0,0
"V3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.0571564084283543,-0.0580075585083877,0,0,-0.214379374191374,0,0,0.0357140462862449,0,0,0,0,0,0,-0.166407556843913,0,-0.186366693054225,0,-0.0052996146356944,0
"V5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0.0404895914306718,0,0,0,-0.147409371567906,0,0,0,0,0,0,-0.111514226921542,0,0,-0.0491374161367358,0,-0.0476326236100002,0,0.131099795561628,0
"V7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V8",0,0,0,0.0889890941596744,-0.0814334991416588,0.0229456798324469,0,0,0,0,0,0,0,0,0,0,-0.301110472245663,0,0.0781740173817354,0
"V9",0,0,0,0.00145477010107273,0,0,0,0,0,0,0,0.144551021247331,0.0670089417634775,-0.0409980659211228,0,0,0,0,0,0
"V10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329556436026903,0,0,0
"V13",-0.0870679641343616,0.00900639111123,0,0.0762610358064363,0,0,0,0,0,0,0,0,0,0,-0.115839811100755,0,0,0,0,0
"V14",0,-0.0302305858809965,0,0,0,0,0,0,0,0,0,0,-0.0201892348597341,0,0,0,0,0,0,0
"V15",0,0,0,-0.0119820720309057,0,0,0,0.0521636553945561,0,0,0,0,0,0,0,0,-0.0639164179134049,0,0,0
"V16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V17",0,0,0,0,0,0,0,0,-0.647306606327308,0,0,-0.130969158034117,-0.967432815436666,0.41391401798243,0.121755360945591,0,0,0,0,0
"V18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V19",-0.00333618521643175,-0.0548037923898607,0,0,0,0,0,-0.430292105749364,0,0,0,0,0,0,0,0,0.07374456606459,0,0,0
"V20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
