"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V1",0,0.0219505856613842,0,0,0,-0.118802067423821,0.188896730930474,0,0.0978749840839358,0.0103971289567957,0,0,0,0,-0.0347597628837193,-0.100388465185423,0,0,0,-0.0396362826417632
"V2",0.00688684066906203,0,0,0.132997483249577,-0.00516505724015973,0.0593872305133331,0.225000184543868,0,0.025124584160858,0,0.105649129870021,-0.0083590999704633,0,0,0,0,0,0,-0.0496731548184172,-0.112481385474776
"V3",0,-0.213654012735339,0,0,0,0,0,0,-0.104546453421659,0,0,0.0247415250207582,0,0,-0.155386827388479,0,-0.10759034921869,0,0,0
"V4",0,0,0.00528271339914541,0,0,0.0362912225644581,0.0456970963301143,-0.0503936793893403,0,0,0,0,0,0,0,-0.014130671909661,0,0,0,0
"V5",0,0,0,0,0,0,0,0,0,0,0.0168630329714117,0,0,0,0,0,0,0,0,0
"V6",0.0189894197543404,0,0,0,0,0,0,0.00190678350585681,-0.00270108041618516,-0.025084903298815,0,-0.112650424749555,0,0,0,0,0,0,0,0
"V7",0,0,0,0,-0.118666734678704,-0.0418141262285828,0,0,0.156781919431074,0,0,0,0,-0.456815026429442,-0.22482835678425,0.0816076012926336,-0.0795866319413386,0,0,0
"V8",0,-0.0272511246107712,0.0216532531901298,0,0,0,0,0,-0.040729614395474,0,0,0.0678044783531682,0,0,-0.0718517677647105,0.0331756213514805,0,0,0.416595228513736,0.0385282764917157
"V9",0,0,0,0,0,0,0,0,0,0,0.0690041376472269,0,0,0,-0.00178480831453046,0,0,0,0,0
"V10",0,0,0,0,0,0,-0.0423272951119964,0,0,0,0,0,0,0,0,0,-0.0102186554948554,0,-0.0588450442121412,0.0216910857661794
"V11",0,0.140230027822395,0,0,0,0.130456803683127,0,0,0,0,0,0,0,0,-0.0156804133613002,0,0,0,0.0115369998326669,0
"V12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V14",0,0,0,0,0,0,0.111234295370638,0,0,0,0,0,0,0,0,0,0,0,0,0
"V15",0,0,0.138338382596861,-0.107964058136979,0.293378494329538,0,0,0,0,0,0.0862663454959426,0,0,-0.0145154536320083,0,0,0,0,-0.0180839513698436,0
"V16",0,0,0,0,0,0.184901198047076,0,0.0600088796496533,0,0.144292056992448,0,0,0,0.00297256439755143,0,0,-0.349581723366112,0,0,0
"V17",0,0,0,0,0,-0.00284029020560473,0.107729574165435,-0.0342792528871275,0,0,0,0,0,0,0,0,0,0,0,0
"V18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V19",0.0209447806683856,0,0,0,-0.255402626142391,-0.0245455204875788,0.0147300324062895,0.284187036135854,-0.00412228730535112,0,-0.0735978160870343,0,0,0.0554951489812099,-0.147789498791397,-0.0369394125989912,0,0,0,0
"V20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
