"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V1",0,0,0.265914949985961,0,0,0,0.102850169580893,0,0,0,0,0.0322047266826389,0,0,0.0777372018863439,0,0,0.0716176376246976,0,-0.159329399471402
"V2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",-0.199121359223865,0,0,-0.0251085135897029,0,-0.103599565532993,0,0,0.795984410395575,0.357314937017851,0,0,0,0,0,0,-0.0410234991312252,0.0451621846392249,-0.00277611339814436,0
"V4",0,0,0,0,0,0,0,-0.00539385328841939,0,0,0,0,0,0,0,0,0.00474731355849269,0,0.350438941874001,0.00943479194292697
"V5",0,-0.0483110029410805,0.246687319305695,0,0,-0.0276660050260597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V7",0.183221534602599,-0.0208855343426138,0.230723023171589,0,0,0,0,0,0.228988589262628,0,0,0.0875340435093432,-0.0625552892393456,-0.0643782985816951,0,0,0,0,0,-0.0215113581306312
"V8",0,0,0,0,0,0,-0.120649816771857,0,0,0,0.0111345483179303,0,-0.108975431024679,0,0,0,0,0.00288752660968395,0.251316205839005,0
"V9",0,0,0,-0.0245525672356217,0,0,0,0.0219394164064365,0,0.393939001943113,0,0,0,-0.014300184685165,0,0,0,0.128863350885382,-0.0844678963299416,0
"V10",0,0,0,-0.317867894992248,0,0,0,0,0,0,0,0,0,0,0,0.0726922347479747,-0.205967900260661,0,-0.0849141198190114,0
"V11",0,0,0,0,0,0,0.0244238135725458,0,0,0,0,0,0,0,0,0,0,0,0,0
"V12",0,0,0,0,0,0,0,0,0,0,0,0,-0.266194579751155,0,0,0,0,0,0,0
"V13",0,0,0.0882897916143044,0,0,0,0.666614113679932,0,0.100250830373127,0,0,0,0,0,0,0,0,0,0,0
"V14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000210127912260125,-0.0010134708967142,0
"V15",0,0,-0.0231494405896456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111983282824074,0.0359376409029772,0,0
"V16",0,0,0,-0.0759641174293571,0,0,0,0,0,0,0,0,0,0,0,0,-0.259064838062108,0,0,-0.000554939872692179
"V17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V18",0,0,0,0,0,0,0,0,0,0,0.184701684530141,0,0,0,0,0,0,0,0,0
"V19",0,0,0,0,-0.0648141767355808,0,0,-0.571960523599695,0,0,-0.145253856859924,0,0,0,0,0,0,0,0,0
"V20",0,0,0,0,0,0,0,0,0,0,0,0,-0.00833387840126589,0.010926270044383,0,0,0,0,0.0997311423749318,0
