"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V1",0,0,0,0,0,0.0345785537499448,0.00385634818127477,0,0,0,0,0,0,0,0,0,0,0,0,0
"V2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679923839977639,0,-0.0228653462300583,0,0,0,0
"V3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0,-0.0936909506132381,-0.0629431976575822,0,0,0,0,-0.00563036131133434,-0.0962745882848157,-0.00286260226936144,-0.164533328590639,0.102876793727265,-0.0194161822767082,0,-0.151350629703046,0,0.180872116492501,-0.0866237637401739,0,-0.267687345228591
"V5",0,0,0,0,0,0,0,0,0,0.262283002763498,0,0,0,0,0,0,0,0.00619806975269633,0,0
"V6",0,-0.15552813165213,-0.133509271519248,0,0,0,0,-0.243172878170649,-0.0111772997570576,0,-0.0837081334605904,0,0,-0.0644044471544978,0.0386258432063592,0.138849331419716,0,0,0,-0.367561768791889
"V7",0,0,0,0,0,0,0,0,0.0142080977405021,0.00973031024531031,0,0,0,-0.332264181486457,0.00546517848500521,0,0,0,0,0
"V8",0,0,0,0.0459401263783768,-0.0614559768677711,0.104361260802117,-0.262203521633462,0,0,0,0,0,0,0.19887780653073,-0.109706028899474,0,0,-0.121039343076768,0,0
"V9",0,0,0,0,0,0.12465465018546,0,-0.0594459318631594,0,0.195371892879911,0,0,0,0,0,0,-0.09636895825238,0,0,0
"V10",0,0,0,-0.503581392936396,0,0,0,-0.0165448245708047,0.0116227556269329,0,0,0,0.256537712721918,0,0,0,-0.679532863461149,0.0706881900093534,0,0
"V11",0,0.191184440649674,0,0,0,0,0,0,0.00534049228526628,0,0,0,0,0,0,0,0,0,0,0
"V12",0,-0.0624559193696064,0,0,0,0.0962175579384669,-0.039442881828981,0.233934786480072,-0.0293538428597581,0,-0.157531326832061,0,-0.131513712325877,0,-0.033093495372736,0,0,0,0,0
"V13",0,0,0,0.326782639305734,0,0,0.0378397863787438,0,0,-0.183902444668692,0.172091734343842,0,0,0,0,0,0,-0.0205553141740908,0,-0.291479438553459
"V14",0,0,-0.0338933455603074,0,-0.0240463698568277,0,0.0485763168979167,0,0,-0.339155018852259,0,0,0,0,0,0.0391621928607138,0,0,0,-0.00783967213827701
"V15",0,0,0,0,0,0,0,0,0,0,0,0,0.115065319180532,0,0,0,0,0,0,0
"V16",0.10080431780063,0.123115866766069,0,0,-0.189795843973823,0.0484446523741987,0.0488566132220389,-0.0251672138507294,0,0,0.0150007267834551,0,0,0.0842129972068882,0,0,0,0,0,-0.022903694824796
"V17",0.0119002770475992,0,-0.0987572303954526,0.0473011461855931,0,-0.0185389827171493,0,0,0,0.0167381000774221,-0.00576562683541167,0,0,0.0449810484682921,0,0,0,-0.0912364158975914,0,0
"V18",0,0.0368594846428719,0,-0.00625003110546817,0,0,0.0402025727477671,-0.147902654847272,0.160141043686261,0.0839215496775431,0.118668230444549,0,0,-0.0158630519356248,0.11465563024498,0,0,0,0,0.0971708477603208
"V19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V20",0,0,0,0,0,0,0,0,0.0367569190438731,0.258319309059839,0,0,0.00358966194730081,0,0,0,-0.0190310959073558,0,0,0
