snp,i,j,B_hat,SE,t_stat,p_val,q_val
1,1,2,0.055676654231070696,0.10475419326086266,0.5314980956599149,0.6178295178609782,0.996297741304507
1,1,3,-0.07762822848368055,0.10746725319524007,-0.7223430968494922,0.5024443300929117,0.9870199575036301
1,1,4,-0.151050839665041,0.08242182127737871,-1.8326559316721307,0.1165583789263765,0.9266880947092055
1,1,5,0.07401254722582987,0.07199973763839361,1.0279557905685335,0.3436153521144032,0.977783785791819
1,1,6,0.01454319870124749,0.10977600235842838,0.13248067326800786,0.8989353296266536,0.9970118974932134
1,1,7,-0.02287187903286715,0.07867079016499892,-0.29072898574688844,0.782931755182141,0.996297741304507
1,1,8,0.10723445850229249,0.09371059238344208,1.1443152345294068,0.2960817405455307,0.9723653007063686
1,1,9,0.021430247111900086,0.05847066977071146,0.3665127694888865,0.7265599821744185,0.996297741304507
1,1,10,-0.044227947749823575,0.09958838479628064,-0.44410749144945727,0.6755265403526687,0.996297741304507
1,1,11,-0.25614193067338725,0.1530298733991461,-1.6738034540721427,0.15502493757609606,0.9327221140485742
1,1,12,-0.06042086018882854,0.1273829408804053,-0.47432458201040373,0.6520380892647493,0.996297741304507
1,1,13,-0.08841246481536957,0.09136945809901652,-0.9676369615609396,0.38802099624339986,0.9787437974965071
1,1,14,0.045546263556320354,0.05869776369056949,0.7759454652420084,0.4672552544918428,0.9831823609235607
1,1,15,-0.10853168083625778,0.10784824488730475,-1.0063370150219952,0.35309852708181605,0.9787437974965071
1,1,16,0.1674702105015697,0.09595783670893696,1.7452478738948818,0.1413855301527624,0.9327221140485742
1,1,17,-0.13265053237270077,0.09913581175161815,-1.3380687566639864,0.23849969959479364,0.9621006990023523
1,1,18,-0.03559564321775203,0.12087004148494318,-0.2944951683655349,0.7830305834998147,0.996297741304507
1,1,19,-0.031126654542372883,0.04352454571373722,-0.7151517386621117,0.5065094237302225,0.9870199575036301
1,1,20,-0.17994432583554645,0.1016067290577089,-1.770988275112898,0.13677337178515658,0.9327221140485742
1,2,1,-0.12060880451528261,0.09970762357559397,-1.2096247025949087,0.2804895946971775,0.9710602551597926
1,2,3,0.06437910449392625,0.09077214252103126,0.7092385692923446,0.5173284826244544,0.9873220114034699
1,2,4,0.14444281175657298,0.08965235295991272,1.6111435671916852,0.16806492389966585,0.9327221140485742
1,2,5,-0.15549972154012892,0.09207700800572428,-1.6888007647769456,0.15205638800352703,0.9327221140485742
1,2,6,-0.051144118870145285,0.10749398941393791,-0.47578584764143134,0.6542881584690681,0.996297741304507
1,2,7,-0.0372015442996037,0.15899288583392615,-0.23398244584495487,0.8264863819934221,0.996297741304507
1,2,8,0.10723358202149164,0.14816226514331746,0.7237577119723484,0.5016473751669654,0.9870199575036301
1,2,9,-0.06687833218576517,0.09059381726315587,-0.7382218147487873,0.4935496039722608,0.9870199575036301
1,2,10,-0.03424806124628549,0.04458642011630484,-0.7681276307041561,0.48524775536221343,0.9853788426768277
1,2,11,0.15944457478396384,0.12906694934981183,1.2353633179210253,0.2842930723560055,0.9710602551597926
1,2,12,-0.0956037515929282,0.09490470743181757,-1.0073657480120832,0.35999316429937933,0.9787437974965071
1,2,13,-0.04481445114125559,0.28841112646695183,-0.15538391909521343,0.8863849201616557,0.9970118974932134
1,2,14,0.23230001552343757,0.1240392504275101,1.8727944156460656,0.11998201823727056,0.9272249539364997
1,2,15,-0.07323178254531554,0.1493564969559579,-0.4903153464185742,0.6446679306566885,0.996297741304507
1,2,16,-0.1127550410804169,0.14265604731088063,-0.7903979060481543,0.47351685033644775,0.9844454813806669
1,2,17,0.0025703013483367202,0.2620129676407666,0.009809824954354654,0.9926427787845088,0.9999842973802364
1,2,18,0.034023947592418176,0.11947189895833218,0.2847861956559325,0.7943357499710563,0.996297741304507
1,2,19,-0.08055851082322629,0.09523302521490642,-0.845909395827645,0.44523893783012997,0.9809403935722025
1,2,20,-0.0811967679197491,0.11788372106240054,-0.6887869435007029,0.5288273550126538,0.9900419620498572
1,3,1,0.1099706182236787,0.2090361049501707,0.5260843252382982,0.6266482650325239,0.996297741304507
1,3,2,0.07570615820001472,0.20958335808523385,0.3612221833417954,0.7362041369612055,0.996297741304507
1,3,4,-0.14983793798635722,0.10731244538490921,-1.3962773604452021,0.22145408165943828,0.944676581588624
