"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V1",0,0,0,0,0,0,0,0,0,0,-0.124493170747383,0,0,0,-0.101404235714499,0,-0.146796637677968,0,0,-0.0391989884585989
"V2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0.035181031409861,0,0,-0.0769672143284087,0.246182968152758,0,0,0,0,0.0714488170377316,0,0,0,0,0,0,-0.0460371011783296,0,0,0
"V4",0.0344088343714207,0,-0.00321247127872591,0,0,0,0.187967214460107,0,0,0.148901329888169,-0.0977046601770382,0.0666138992140657,0,0,0,0,0,0,0,-0.00596172211809716
"V5",0,0,0,0,0,0,0,0,-0.00950896378924051,-0.110799020824645,0,0,-0.0177039374758229,0.0331777452136838,0.122509441387774,0,0.122142701999872,0,-0.0118305070531083,0.0424999694963128
"V6",0,0,0,0,0,0,0,0,0,0.302248443594102,0,0,-0.00379966860801274,0,0,0.00583630698028849,0,0,0,0
"V7",0.0306387148170865,0,-0.0608628955060949,0,0,-0.306436980901639,0,0.0313599593844566,0.273579526557609,0.0870623043330348,-0.0438309395815483,0,0.0196590177492051,-0.394296323966669,-0.288572756559618,0,-0.214742437244301,-0.0625923110005948,-0.0117859784018979,-0.0447190447770252
"V8",0,0,0,0,0,0,0.132268844639661,0,0,-0.115525292392439,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,0,0,0,0,0.155198748358763,0,0,0,0,-0.0507946346599763,0,-0.0581235938170168,0,0,0
"V10",0,0,0.375726498147142,-0.513720532457172,-0.114379637495584,-0.121349557356537,0,0.464174927791601,0.0655076503335017,0,0,0,0,0,0,0.940792581319806,-0.444957043878173,0,-0.487934409567507,0
"V11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V12",0,0,0,0,0,0,0,0,0,0.403524009496332,0,0,-0.16078920816783,0.0151704963843266,0,0,0,0,0,0
"V13",0,0,0,0.118239639145358,0,0,0.455013528382408,0,0,-0.186472922305396,0,0,0,-0.128960874687058,0,0,0,0,-0.0699870667681473,0
"V14",0,0,0,0,0,0,0.00607287273988988,0,0,0,0,0,0,0,0,0,0,0,0,0
"V15",0,0,0,0,0,0,0.0112912164913269,0,0,0,0.0396954771483918,0,-0.0709362390874154,0,0,0,0.167622164015101,0.155769643478963,0,0
"V16",0,0,0,0,0,-0.0559722066948855,0,0.0383986024524303,0,-0.109879286628243,0,0,0,0,0,0,-0.0511557003066733,0,-0.00283520671120516,0
"V17",0,0,0,0,0,0,0,0,0,0.0608792808480948,0,0,-0.586093050817933,0,0,0,0,0.0294332969329277,0,0.0665531690380365
"V18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V19",0,0,0,0,0,0,0,-0.0745194482183272,0,0,0,0,0,0,0,0,0,0,0,0
"V20",0,0,0,0,0,0,0,0,0,-0.0433200615464544,0,0,0,0,0,0,0,0,0,0
