"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"V1",0,0,0,0,0,0.035371566001716,0.205880652035108,0,0,-0.0324001679062963,0.203607464150995,0,0,0,0.0294825622467818,-0.0125596683173325,0,0,0,-0.266667550788561
"V2",0.131488367772566,0,0,0,0,0,0.0293984379077457,-0.00308482185872878,0,0.103421364367891,0,-0.0840082903286966,0,0,0,0.00113599433648974,0,0,-0.0320096960737068,0
"V3",0.235310248052319,0.0816135843117672,0,-0.107187901119951,0.249613962931429,0,0,0,0.0252212357498701,0,0,0,0,-0.0464754204498312,-0.032189986213833,0,0,0,-0.091698183063153,0
"V4",0,0,0,0,0.0641342377107667,-0.138034190611096,0.00527136400640551,0,0,0,0,-0.00745676828405553,0,-0.0287694116162894,0,0,0,-0.101789697978666,0,0
"V5",0,0.103532604342976,0.0531529358844602,-0.0933854922827407,0,0.063493203555587,0,0,0,0,0.115476602572207,0.0798117951193463,0,0,0,0,0,0,0,0
"V6",-0.00163068361217805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727595784357915,0,0,0,0
"V7",0.158295620302337,0,0,0,0,0.0150758554897653,0,0,0.0978994774244963,0,0.0471228270337158,0,0,-0.124430666975697,0,0,0,0.0375978080052761,0,0
"V8",0.040067438496913,0,0.0313400825772413,0,0,0,0.191117274759342,0,0,0,0,0,0,0,0,0,0,0,0.0881701199756857,0
"V9",0,0.00155179985402997,0,0,0,0,0,0,0,0.187757912454861,0,0,0,0,0,0,0,0,-0.0162322181689587,0
"V10",0,0,0.159602610864255,0,0.181418698626678,0,0,0.00960525914384041,0,0,0.193565530855639,0,0,-0.078526687886595,0.110749766719491,0.162974883998894,0,0.192395001878373,-0.429646322632897,0
"V11",-0.00968646122179435,0.0831009229066583,0.264303085642022,0.0265909103016641,0.0966609911643434,0,-0.0182091283117822,0,0,0,0,0,0,0.104906610795165,0,-0.0229629970649977,0,0.240518157708174,0,0
"V12",0.0390634054680526,0,0.113416319232317,-0.0189471653204274,0,0,-0.121594039149292,-0.0279572817629292,-0.0817103847236208,0,0.131771868858317,0,0,0,0,0,0,0,0.0848637412583118,0
"V13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V16",0,0,0,-0.00506367068703897,0,0,0.0299765667903833,0,0,0,0,0,0,0,0,0,0,0,0,0
"V17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V18",0,0.00905182039129594,0,0,0,0,0,0,0.00336021574114766,0,0.204878238355865,0,0,0,0.0292285200251286,0,0,0,0,0
"V19",0,0.0503749850311162,0,0,0,-0.0786391015696984,0,-0.614332089204468,0,0,0,0,0,0,0,-0.0072748823963925,0,-0.0635430517232485,0,0.207504136215915
"V20",0,-0.140735497816947,0,0,0,0,-0.216849337291418,0,0,-0.0879360791087268,0,0.179498384814635,0,0,0,0,0,0,0.185612347721824,0
